,Date,Homestead_maxtempC,Homestead_mintempC,Homestead_DewPointC,Homestead_FeelsLikeC,Homestead_HeatIndexC,Homestead_WindChillC,Homestead_WindGustKmph,Homestead_cloudcover,Homestead_humidity,Homestead_precipMM,Homestead_pressure,Homestead_tempC,Homestead_visibility,Homestead_winddirDegree,Homestead_windspeedKmph,Consumption
0,2020-06-25 17:00:00,33.0,27.0,23.0,36.0,36.0,31.0,24.0,9.0,62.0,0.0,1018.0,31.0,10.0,94.0,19.0,103.0
1,2020-06-25 16:00:00,33.0,27.0,23.0,37.0,37.0,32.0,24.0,7.0,60.0,0.0,1018.0,32.0,10.0,96.0,20.0,99.0
2,2020-06-25 15:00:00,33.0,27.0,23.0,38.0,38.0,33.0,23.0,5.0,57.0,0.0,1019.0,33.0,10.0,98.0,20.0,74.0
3,2020-06-25 14:00:00,33.0,27.0,23.0,37.0,37.0,32.0,22.0,6.0,57.0,0.0,1019.0,32.0,10.0,96.0,19.0,82.0
4,2020-06-25 13:00:00,33.0,27.0,23.0,37.0,37.0,32.0,21.0,7.0,58.0,0.0,1019.0,32.0,10.0,95.0,18.0,73.0
5,2020-06-25 12:00:00,33.0,27.0,23.0,37.0,37.0,32.0,20.0,8.0,58.0,0.0,1019.0,32.0,10.0,94.0,17.0,67.0
6,2020-06-25 11:00:00,33.0,27.0,23.0,36.0,36.0,31.0,19.0,25.0,63.0,0.0,1019.0,31.0,10.0,91.0,16.0,66.0
7,2020-06-25 10:00:00,33.0,27.0,24.0,35.0,35.0,30.0,18.0,43.0,68.0,0.0,1019.0,30.0,10.0,88.0,14.0,67.0
8,2020-06-25 09:00:00,33.0,27.0,24.0,34.0,34.0,29.0,17.0,60.0,74.0,0.0,1018.0,29.0,10.0,85.0,13.0,66.0
9,2020-06-25 08:00:00,33.0,27.0,24.0,33.0,33.0,29.0,16.0,55.0,77.0,0.0,1018.0,29.0,10.0,84.0,12.0,67.0
10,2020-06-25 07:00:00,33.0,27.0,24.0,33.0,33.0,28.0,15.0,50.0,80.0,0.0,1017.0,28.0,10.0,83.0,11.0,70.0
11,2020-06-25 06:00:00,33.0,27.0,25.0,32.0,32.0,28.0,14.0,45.0,84.0,0.0,1017.0,28.0,10.0,82.0,9.0,73.0
12,2020-06-25 05:00:00,33.0,27.0,25.0,32.0,32.0,28.0,13.0,34.0,84.0,0.0,1017.0,28.0,10.0,86.0,9.0,79.0
13,2020-06-25 04:00:00,33.0,27.0,25.0,32.0,32.0,28.0,13.0,24.0,83.0,0.0,1017.0,28.0,10.0,90.0,9.0,86.0
14,2020-06-25 03:00:00,33.0,27.0,25.0,32.0,32.0,28.0,13.0,13.0,83.0,0.0,1017.0,28.0,10.0,93.0,8.0,94.0
15,2020-06-25 02:00:00,33.0,27.0,25.0,33.0,33.0,28.0,12.0,10.0,83.0,0.0,1017.0,28.0,10.0,100.0,8.0,101.0
16,2020-06-25 01:00:00,33.0,27.0,25.0,34.0,34.0,28.0,11.0,7.0,82.0,0.0,1017.0,28.0,10.0,106.0,8.0,105.0
17,2020-06-25 00:00:00,33.0,27.0,25.0,34.0,34.0,29.0,10.0,4.0,82.0,0.0,1017.0,29.0,10.0,113.0,8.0,107.0